,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default
22,1038,SNEAD STATE COMMUNITY COLLEGE                                    ,AL,5,1,113,372,30.3,A,5,D,36,106,33.9,A,0,0,0.0,A,public,2012
66,1105,SHORTER COLLEGE                                                  ,AR,5,2,19,82,23.1,A,2,D,8,17,47.0,B,0,0,0.0,A,"private, non-profit",2012
82,1131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,CA,8,2,0,37,0.0,A,5,D,2,104,1.9,B,1,39,2.5,A,"private, non-profit",2014
111,1170,CLAREMONT MCKENNA COLLEGE                                        ,CA,8,2,0,56,0.0,A,5,D,0,63,0.0,A,0,64,0.0,A,"private, non-profit",ALL
112,1171,HARVEY MUDD COLLEGE                                              ,CA,6,2,0,141,0.0,A,5,D,1,134,0.7,A,0,124,0.0,A,"private, non-profit",2014 2012
114,1173,POMONA COLLEGE                                                   ,CA,6,2,0,64,0.0,A,5,D,1,57,1.7,A,0,69,0.0,A,"private, non-profit",2014 2012
115,1174,SCRIPPS COLLEGE                                                  ,CA,6,2,0,104,0.0,A,5,D,1,104,0.9,A,3,104,2.8,A,"private, non-profit",2014
139,1207,GRADUATE THEOLOGICAL UNION                                       ,CA,8,2,0,44,0.0,A,5,D,1,82,1.2,B,1,78,1.2,B,"private, non-profit",2014
155,1230,MARSHALL B. KETCHUM UNIVERSITY                                   ,CA,8,2,0,114,0.0,P,5,D,0,102,0.0,P,0,102,0.0,P,"private, non-profit",ALL
166,1249,OCCIDENTAL COLLEGE                                               ,CA,8,2,2,359,0.5,A,5,D,0,294,0.0,A,8,284,2.8,A,"private, non-profit",2013
172,1256,PACIFIC SCHOOL OF RELIGION                                       ,CA,8,2,3,44,6.8,A,5,D,0,50,0.0,A,2,49,4.0,A,"private, non-profit",2013
193,1288,CLAREMONT SCHOOL OF THEOLOGY                                     ,CA,8,2,1,48,2.0,A,5,D,0,35,0.0,A,2,47,4.2,A,"private, non-profit",2013
201,1296,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY                      ,CA,8,2,0,36,0.0,B,5,D,0,38,0.0,B,1,29,3.4,B,"private, non-profit",2014 2013
234,1352,DENVER SEMINARY                                                  ,CO,8,2,4,180,2.2,A,5,D,1,213,0.4,A,0,214,0.0,A,"private, non-profit",2012
236,1354,ILIFF SCHOOL OF THEOLOGY                                         ,CO,8,2,3,74,4.0,A,5,D,3,66,4.5,A,0,60,0.0,A,"private, non-profit",2012
254,1387,HARTFORD SEMINARY                                                ,CT,8,2,1,39,2.5,B,5,D,1,26,3.8,B,0,14,0.0,B,"private, non-profit",2012
352,1560,COLUMBIA THEOLOGICAL SEMINARY                                    ,GA,8,2,0,50,0.0,B,5,D,2,54,3.7,B,2,57,3.5,B,"private, non-profit",2014
408,1637,BETHANY THEOLOGICAL SEMINARY                                     ,IN,8,2,0,33,0.0,B,5,D,0,23,0.0,B,0,24,0.0,B,"private, non-profit",ALL
422,1661,CHICAGO THEOLOGICAL SEMINARY                                     ,IL,8,2,0,42,0.0,A,5,D,3,80,3.7,B,2,73,2.7,B,"private, non-profit",2014
434,1682,GARRETT - EVANGELICAL THEOLOGICAL SEMINARY                       ,IL,8,2,5,73,6.8,A,5,D,0,56,0.0,A,2,49,4.0,A,"private, non-profit",2013
436,1685,HEBREW THEOLOGICAL COLLEGE                                       ,IL,7,2,0,35,0.0,A,5,D,0,35,0.0,A,2,52,3.8,B,"private, non-profit",2014 2013
438,1689,ILLINOIS COLLEGE OF OPTOMETRY                                    ,IL,7,2,1,147,0.6,A,5,D,0,158,0.0,A,1,124,0.8,A,"private, non-profit",2013
456,1712,LUTHERAN SCHOOL OF THEOLOGY AT CHICAGO                           ,IL,8,2,1,32,3.1,A,5,D,0,42,0.0,A,2,41,4.8,A,"private, non-profit",2013
501,1789,CHRISTIAN THEOLOGICAL SEMINARY                                   ,IN,8,2,1,44,2.2,A,5,D,0,38,0.0,A,2,39,5.1,A,"private, non-profit",2013
549,1858,DIVINE WORD COLLEGE                                              ,IA,6,2,0,30,0.0,B,5,D,1,24,4.1,B,2,23,8.6,B,"private, non-profit",2014
576,1897,WARTBURG THEOLOGICAL SEMINARY                                    ,IA,8,2,0,30,0.0,A,5,D,0,38,0.0,A,0,35,0.0,A,"private, non-profit",ALL
633,1971,LEXINGTON THEOLOGICAL SEMINARY                                   ,KY,8,2,0,32,0.0,B,5,D,6,38,15.7,B,8,47,17.0,B,"private, non-profit",2014
679,2038,BOWDOIN COLLEGE                                                  ,ME,6,2,0,149,0.0,A,5,D,2,153,1.3,A,2,150,1.3,A,"private, non-profit",2014
680,2039,COLBY COLLEGE                                                    ,ME,6,2,3,192,1.5,A,5,D,5,191,2.6,A,0,187,0.0,A,"private, non-profit",2012
