OPEID,Name,Address,City,State,State Desc,Zip Code,Zip Ext,Prog Length,School Type,Year 1,Num 1,Denom 1,DRate 1,PRate 1,Ethnic Code,Program,Cong Dis,Region,"Average or
Greater than 30",Year 2,Num 2,Denom 2,DRate 2,PRate 2,Year 3,Num 3,Denom 3,DRate 3,PRate 3
1009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,ALABAMA                                                     ,36849,5113,8,1,2014,139,3676,3.7,P,5,D,03      ,4,False,2013,160,3727,4.2,P,2012,170,3772,4.5,P
1012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35254,0002,6,2,2014,11,250,4.4,A,5,D,07      ,4,False,2013,8,271,2.9,A,2012,12,267,4.4,A
1036,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35229,7000,8,2,2014,20,932,2.1,A,5,D,06      ,4,False,2013,20,973,2,A,2012,7,911,0.7,A
1097,HARDING UNIVERSITY                                               ,915 EAST MARKET                                   ,SEARCY              ,AR,ARKANSAS                                                    ,72149,0001,8,2,2014,47,1283,3.6,A,5,D,02      ,6,False,2013,44,1287,3.4,A,2012,41,1312,3.1,A
1099,HENDRIX COLLEGE                                                  ,1600 WASHINGTON AVENUE                            ,CONWAY              ,AR,ARKANSAS                                                    ,72032,3080,8,2,2014,9,246,3.6,A,5,D,02      ,6,False,2013,10,263,3.8,A,2012,13,267,4.8,A
1100,JOHN BROWN UNIVERSITY                                            ,2000 WEST UNIVERSITY STREET                       ,SILOAM SPRINGS      ,AR,ARKANSAS                                                    ,72761,2747,8,2,2014,15,604,2.4,A,5,D,03      ,6,False,2013,25,638,3.9,A,2012,20,644,3.1,A
1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,4301 WEST MARKHAM STREET           SLOT 864       ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72205,7102,8,1,2014,13,764,1.7,P,5,D,02      ,6,False,2013,11,708,1.5,P,2012,9,759,1.1,P
1117,AZUSA PACIFIC UNIVERSITY                                         ,901 EAST ALOSTA AVENUE                            ,AZUSA               ,CA,CALIFORNIA                                                  ,91702,7000,8,2,2014,124,3247,3.8,A,5,D,32      ,9,False,2013,92,3114,2.9,A,2012,103,2857,3.6,A
1122,BIOLA UNIVERSITY                                                 ,13800 BIOLA AVENUE                                ,LA MIRADA           ,CA,CALIFORNIA                                                  ,90639,0001,8,2,2014,38,1294,2.9,A,5,D,39      ,9,False,2013,28,1326,2.1,A,2012,31,1357,2.2,A
1125,CALIFORNIA BAPTIST UNIVERSITY                                    ,8432 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,CALIFORNIA                                                  ,92504,3297,8,2,2014,93,2128,4.3,A,5,D,44      ,9,False,2013,75,1759,4.2,A,2012,75,1567,4.7,A
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,1200 EAST CALIFORNIA BOULEVARD                    ,PASADENA            ,CA,CALIFORNIA                                                  ,91125,0001,8,2,2014,0,37,0,A,5,D,29      ,9,False,2013,2,104,1.9,B,2012,1,39,2.5,A
1133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,60 WEST OLSEN ROAD                                ,THOUSAND OAKS       ,CA,CALIFORNIA                                                  ,91360,2787,8,2,2014,30,1003,2.9,P,5,D,24      ,9,False,2013,29,1130,2.5,P,2012,27,986,2.7,A
1134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,200 MARITIME ACADEMY DRIVE                        ,VALLEJO             ,CA,CALIFORNIA                                                  ,94590,8181,8,1,2014,10,213,4.6,A,5,D,07      ,9,False,2013,8,210,3.8,A,2012,7,181,3.8,A
1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",800 NORTH STATE COLLEGE BOULEVARD                 ,FULLERTON           ,CA,CALIFORNIA                                                  ,92831,3599,8,1,2014,219,5835,3.7,A,5,D,40      ,9,False,2013,233,5620,4.1,A,2012,185,5249,3.5,A
1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1250 BELLFLOWER BOULEVARD                         ,LONG BEACH          ,CA,CALIFORNIA                                                  ,90840,0006,8,1,2014,201,6233,3.2,A,5,D,46      ,9,False,2013,214,6145,3.4,A,2012,208,5461,3.8,A
1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,ONE GRAND AVENUE                                  ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93407,0001,8,1,2014,43,2684,1.6,A,5,D,22      ,9,False,2013,52,2887,1.8,A,2012,41,2554,1.6,A
1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",3801 WEST TEMPLE AVENUE                           ,POMONA              ,CA,CALIFORNIA                                                  ,91768,2500,8,1,2014,134,3562,3.7,A,5,D,38      ,9,False,2013,100,3450,2.8,A,2012,102,3184,3.2,A
1151,SAN DIEGO STATE UNIVERSITY                                       ,5500 CAMPANILE DRIVE                              ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92182,1690,8,1,2014,197,5471,3.6,P,5,D,53      ,9,False,2013,188,5447,3.4,P,2012,195,5393,3.6,P
