Location, Balance in billions , Borrowers in thousands ,
Alabama,18.0,547.6,
Alaska,1.9,63.6,
Arizona,24.1,768.2,
Arkansas,10.0,338.0,
California,116.1,3583.3,
Colorado,23.0,699.3,
Connecticut,13.3,428.3,
Delaware,3.4,105.3,
District of Columbia,5.6,112.2,
Florida,75.5,2237.6,
Georgia,51.7,1409.5,
Hawaii,3.6,112.2,
Idaho,5.7,198.0,
Illinois,50.9,1520.0,
Indiana,24.7,836.9,
Iowa,11.4,417.1,
Kansas,10.4,357.6,
Kentucky,15.8,540.8,
Louisiana,16.7,544.2,
Maine,4.9,166.6,
Maryland,27.7,745.2,
Massachusetts,25.3,818.4,
Michigan,42.5,1337.6,
Minnesota,22.4,741.9,
Mississippi,12.5,387.7,
Missouri,24.3,764.7,
Montana,3.4,113.6,
Nebraska,6.5,228.3,
Nevada,8.5,287.0,
New Hampshire,5.3,173.4,
New Jersey,32.5,1043.5,
New Mexico,6.2,207.2,
New York,75.8,2247.6,
North Carolina,36.3,1092.8,
North Dakota,2.1,77.7,
Ohio,51.6,1666.6,
Oklahoma,12.2,429.8,
Oregon,16.8,508.6,
Pennsylvania,51.6,1613.7,
Puerto Rico,6.6,299.7,
Rhode Island,3.6,126.1,
South Carolina,20.7,609,
South Dakota,3.0,103.8,
Tennessee,24.2,749.7,
Texas,87.9,2989.2,
Utah,7.9,272.3,
Vermont,2.3,69.7,
Virginia,33.1,952.4,
Washington,22.4,720.2,
West Virginia,5.9,208.3,
Wisconsin,19.4,676.8,
Wyoming,1.3,48.7,
Other,3.5,87.2,
Not Reported*,150.0,6925.4,
,,,
,,,
