Federal Fiscal Year,Federal Fiscal Quarter,Direct Loans Dollars Outstanding (in billions),Direct Loans Recipients (in millions),FFEL Dollars Outstanding (in billions),FFEL Dollars Recipients (in millions),Perkins Dollars Outstanding (in billions),Perkins  Recipients (in millions),Total Dollars Outstanding (in billions),Total Unduplicated Recipients (in millions)
2007,AQ,106.8,7.0,401.9,22.6,8.2,2.8,516,28.3
2008,AQ,122.5,7.7,446.5,23.7,8.5,2.9,577,29.9
2009,AQ,154.9,9.2,493.3,25.0,8.7,3.0,657,32.1
2010,AQ,224.5,14.4,516.7,25.1,8.4,2.9,749.8,34.3
2011,AQ,350.1,19.4,489.8,23.8,8.3,2.9,848.2,36.5
2012,AQ,488.3,22.8,451.7,22.4,8.2,2.9,948.2,38.3
2013,Q1,508.7,23.4,444.9,22.1,8.2,3.0,961.9,38.7
2013,Q2,553,24.1,437,21.6,8.3,3.0,998.6,38.9
2013,Q3,569.2,24.3,429.5,21.2,8.2,2.9,1006.8,38.7
2013,Q4,609.1,25.6,423,20.9,8.1,2.9,1040.2,39.6
2014,Q1,626.5,26.2,417.1,20.6,8.2,3.0,1051.8,40.0
2014,Q2,669,26.5,409.7,20.2,8.3,3.0,1087,40.0
2014,Q3,685.7,26.7,402.5,19.8,8.2,2.9,1096.5,39.9
2014,Q4,726.6,27.9,395,19.4,8.2,2.9,1129.8,40.7
2015,Q1,744.3,28.5,387.6,19.1,8.2,3.0,1140.1,41.1
2015,Q2,787,28.7,379.1,18.6,8.3,2.9,1174.4,41.0
2015,Q3,803.1,28.8,370.9,18.2,8.2,2.9,1182.1,40.8
2015,Q4,840.7,29.9,363.6,17.9,8.1,2.8,1212.4,41.6
2016,Q1,854.8,30.3,357.3,17.5,8.1,2.9,1220.3,41.8
2016,Q2,896.6,30.5,350.2,17.2,8.2,2.8,1254.9,41.7
2016,Q3,911.6,30.5,342.6,16.8,8,2.7,1262.2,41.5
2016,Q4,949.1,31.5,335.2,16.4,7.9,2.7,1292.2,42.3
2017,Q1,963.5,31.9,328.3,16.1,7.9,2.7,1299.7,42.4
2017,Q2,1003.3,32.1,320.5,15.7,7.9,2.6,1331.7,42.3
2017,Q3,1017,32.0,312.6,15.2,7.8,2.6,1337.4,42.0
,,,,,,,,,
