,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default
4192,38763,CULPEPER COSMETOLOGY TRAINING CENTER                             ,VA,3,1,19,55,34.5,B,5,D,15,42,35.7,B,12,32,37.5,B,public,
650,1998,SOUTHEAST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE               ,KY,5,1,232,683,33.9,P,5,D,202,635,31.8,P,146,451,32.3,P,public,
3137,21466,SOUTH MOUNTAIN COMMUNITY COLLEGE                                 ,AZ,5,1,343,1029,33.3,A,3,D,256,845,30.2,A,164,574,28.5,A,public,
2568,9430,TRI-COUNTY COMMUNITY COLLEGE                                     ,NC,5,1,32,101,31.6,A,5,D,15,52,28.8,A,4,7,57.1,B,public,
1845,3816,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE           ,WV,5,1,28,90,31.1,P,5,D,23,94,24.4,P,24,114,21.0,P,public,
42,1078,PHOENIX COLLEGE                                                  ,AZ,5,1,975,3145,31.0,A,3,D,783,2832,27.6,A,574,2312,24.8,A,public,
4322,41190,EASTERN WEST VIRGINIA COMMUNITY & TECHNICAL COLLEGE              ,WV,5,1,35,115,30.4,A,5,D,22,94,23.4,A,16,45,35.5,A,public,
22,1038,SNEAD STATE COMMUNITY COLLEGE                                    ,AL,5,1,113,372,30.3,A,5,D,36,106,33.9,A,0,0,0.0,A,public,2012
152,1227,LOS ANGELES TRADE-TECHNICAL COLLEGE                              ,CA,5,1,115,385,29.8,A,3,D,64,245,26.1,A,50,155,32.2,A,public,
2128,5754,ROWAN-CABARRUS COMMUNITY COLLEGE                                 ,NC,5,1,263,880,29.8,A,5,D,122,496,24.5,A,25,87,28.7,A,public,
